city,year,gdp_per_capita,gdp_total,disposable_income,population,house_price,housing_burden,housing_sales_area,housing_sales_value,population_growth,university_quality,tertiary_ratio,rd_expenditure,innovation_index,listed_company_count,job_posting_count,entry_salary,rent_monthly,rent_burden
Beijing,2021,184000.0,40269.6,75002.0,21886000.0,50580.666666666664,0.6743909051314186,,,-0.00031973690220621354,104.8,81.6735204720186,424.5,424.5,472.0,25917.0,85555.0,6500.0,1.0399722674062024
Beijing,2022,190000.0,41610.9,77415.0,21843000.0,54921.333333333336,0.7094404615815195,,,-0.0019647263090559752,104.8,83.85855629174087,448.5,448.5,472.0,18660.0,99440.0,6500.0,1.0075566750629723
Beijing,2023,200000.0,43760.7,81752.0,21858000.0,59322.25,0.7256366816713964,,,0.0006867188572998728,104.8,84.84690601384347,498.7,498.7,472.0,16809.0,96742.0,6500.0,0.9541050983462178
Beijing,2024,228000.0,49843.1,85415.0,21832000.0,58729.083333333336,0.687573416066655,,,-0.0011894958367645314,104.8,85.26736900393436,551.4,551.4,472.0,14200.0,89232.0,6500.0,0.9131885500204882
Beijing,2025,239000.0,52073.4,89090.0,21800000.0,57785.583333333336,0.6486203090507726,,,-0.0014657383657017409,104.8,85.98804764044598,590.2,590.2,472.0,13744.0,87447.0,6500.0,0.8755191379503873
Shanghai,2021,173593.3526951953,43214.85,78027.0,24894300.0,54467.166666666664,0.6980553739944719,,,0.0009410598211283538,51.2,73.27471922267462,422.6,422.6,438.0,31028.0,85651.0,6200.0,0.9535160905840286
Shanghai,2022,180350.5002241618,44652.8,79610.0,24758900.0,50338.75,0.6323169199849266,,,-0.005438996075406766,51.2,74.12171241221155,456.4,456.4,438.0,22340.0,99551.0,6200.0,0.9345559603064941
Shanghai,2023,189827.5744236065,47218.66,84834.0,24874500.0,52405.75,0.6177446542659782,,,0.004669028107064488,51.2,75.20247292066313,528.4,528.4,438.0,20124.0,99954.0,6200.0,0.8770068604568922
Shanghai,2024,217423.61687887556,53926.71,88366.0,24802600.000000004,60808.416666666664,0.688142686855427,,,-0.0028905103620171513,51.2,78.23477456718572,635.5,635.5,438.0,17000.0,89964.0,6200.0,0.8419527872711223
Shanghai,2025,228166.419222583,56708.71,91987.0,24854100.0,60619.0,0.6589952928131149,,,0.002076395216630278,51.2,79.28006121105558,702.3,702.3,438.0,16454.0,88165.0,6200.0,0.8088099405350756
Shenzhen,2021,173663.0,30664.85,70847.0,17681600.0,60592.2,0.8552542803506147,,,0.006921331309726053,2.4,62.93743488065326,494.3,494.3,421.0,15514.0,79561.0,5400.0,0.9146470563326605
Shenzhen,2022,183274.0,32387.68,72718.0,17661800.0,61556.333333333336,0.8465075130412462,,,-0.0011198081621572875,2.4,61.61651590975333,554.6,554.6,421.0,11170.0,92473.0,5400.0,0.8911136169861658
Shenzhen,2023,195230.17,34606.4,76910.0,17661800.0,64521.5,0.8389221167598492,,,0.0,2.4,62.319050811410605,580.2,580.2,421.0,10062.0,92339.0,5400.0,0.8425432323494995
Shenzhen,2024,205714.0,36801.87,81123.0,17989500.0,59451.0,0.7328501164897748,,,0.018554167751871242,2.4,62.13331007364571,590.0,590.0,421.0,8500.0,88332.0,5400.0,0.7987870271069857
Shenzhen,2025,213763.0,38731.8,84945.0,18248500.0,55615.5,0.6547236447112837,,,0.014397287306484374,2.4,62.53574582126314,613.0,613.0,421.0,8227.0,86565.0,5400.0,0.7628465477662016
Guangzhou,2021,150366.0,28231.97,74416.0,18810600.0,34607.333333333336,0.46505231849781414,,,0.007174753434779246,38.7,71.47057803668643,314.0,314.0,152.0,12481.0,74136.0,3600.0,0.5805203182111374
Guangzhou,2022,153625.0,28839.0,76849.0,18734100.0,32175.083333333332,0.41867927147176065,,,-0.004066855921661228,38.7,71.47057803668643,321.5,321.5,152.0,8986.0,86167.0,3600.0,0.5621413421124543
Guangzhou,2023,161634.0,30355.73,80501.0,18827000.0,34597.166666666664,0.4297731291122677,,,0.0049588717899444745,38.7,73.34,349.2,349.2,152.0,8078.0,82311.0,3600.0,0.5366392964062559
Guangzhou,2024,164171.0,31032.5,83436.0,18978000.0,34033.666666666664,0.4079014653946338,,,0.008020396239443395,38.7,73.66,362.8,362.8,152.0,6800.0,80928.0,3600.0,0.5177621170717676
Guangzhou,2025,168279.0,32039.46,80591.0,19101000.0,33395.166666666664,0.41437836317537524,,,0.006481188744862365,38.7,74.95,389.3,389.3,152.0,6577.0,79309.0,3600.0,0.5360400044670001
Hangzhou,2021,149857.0,18109.0,67709.0,12204000.0,31069.166666666668,0.4588631742702841,,,0.022452226497799543,18.8,67.9,194.7,194.7,228.0,9544.0,69032.0,3300.0,0.5848557798815519
Hangzhou,2022,152588.0,18753.0,70281.0,12376000.0,25874.083333333332,0.3681518950119283,,,0.014093739757456536,18.8,68.2,222.0,222.0,228.0,6872.0,80235.0,3300.0,0.5634524266871559
Hangzhou,2023,161129.0,20059.0,73797.0,12376000.000000002,25713.416666666668,0.3484344440379239,,,2.220446049250313e-16,18.8,70.0,255.3,255.3,228.0,6177.0,81442.0,3300.0,0.5366071791536241
