city,year,gdp_per_capita,disposable_income,population,gdp_total,source,source_url,rd_expenditure
Beijing,2020,,69434.0,,36102.6,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202103/t20210311_2304398.html,
Beijing,2021,184000.0,75002.0,21886000.0,40269.6,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,
Beijing,2022,190000.0,77415.0,21843000.0,41610.9,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,
Beijing,2023,200000.0,81752.0,,43760.7,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,
Beijing,2024,228000.0,85415.0,21832000.0,49843.1,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,
Beijing,2025,239000.0,89090.0,21800000.0,52073.4,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202603/t20260325_4565494.html,
Changsha,2021,,,10239300.0,13270.7,City statistical communique,https://tjgb.hongheiku.com/djs/25200.html,
Changsha,2022,,,10420600.0,13966.11,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,
Changsha,2023,,,10513100.0,14331.98,City statistical communique,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202405/t20240506_33292952.html,
Changsha,2024,,,10616500.0,15268.78,City statistical communique,https://tjgb.hongheiku.com/djs/58642.html,
Changsha,2025,,,10721400.000000002,15737.82,City statistical communique,https://tjgb.hongheiku.com/djs/69005.html,
Chengdu,2022,98149.0,47948.0,21268000.0,20817.5,City statistical communique,https://tjgb.hongheiku.com/djs/35562.html,
Chengdu,2023,103465.0,,21268000.0,22074.7,City statistical communique,https://tjgb.hongheiku.com/djs/46512.html,
Chengdu,2024,109669.0,,21474000.0,23511.3,City statistical communique,https://www.tjnj.net/newsview.aspx?newsid=20250717155655,
Chengdu,2025,115155.0,54363.0,21535000.0,24763.6,City statistical communique,https://tjgb.hongheiku.com/djs/68696.html,
Chongqing,2020,,30824.0,,25002.79,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202103/t20210318_9008291_wap.html,
Chongqing,2021,86879.0,33803.0,32124300.0,27894.02,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202203/t20220318_10522726_wap.html,
Chongqing,2022,90663.0,35666.0,32133400.0,29129.03,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202303/t20230317_11775723_wap.html,
Chongqing,2023,94135.0,37595.0,31914300.0,30145.79,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202403/t20240326_13084652_wap.html,
Chongqing,2024,100889.0,39713.0,31904699.999999996,32193.15,City statistical communique,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202503/t20250326_14443791_wap.html,
