city,year,metric,value,status,severity,rule_type,detail,source_url,is_official_source,extraction_method,recommended_action
Beijing,2021,disposable_income,75002.0,SUSPICIOUS,MEDIUM,source,Beijing 2021 disposable_income: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2021,gdp_per_capita,184000.0,SUSPICIOUS,MEDIUM,source,Beijing 2021 gdp_per_capita: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2021,house_price,50580.666666666664,SUSPICIOUS,LOW,source,Beijing 2021 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/1/2021/),https://fangjia.gotohui.com/years/1/2021/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2021,population,21886000.0,SUSPICIOUS,MEDIUM,source,Beijing 2021 population: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2022,disposable_income,77415.0,SUSPICIOUS,MEDIUM,source,Beijing 2022 disposable_income: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2022,gdp_per_capita,190000.0,SUSPICIOUS,MEDIUM,source,Beijing 2022 gdp_per_capita: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2022,house_price,54921.333333333336,SUSPICIOUS,LOW,source,Beijing 2022 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/1/2022/),https://fangjia.gotohui.com/years/1/2022/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2022,population,21843000.0,SUSPICIOUS,MEDIUM,source,Beijing 2022 population: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202303/t20230321_2940951.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2023,disposable_income,81752.0,SUSPICIOUS,MEDIUM,source,Beijing 2023 disposable_income: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2023,gdp_per_capita,200000.0,SUSPICIOUS,MEDIUM,source,Beijing 2023 gdp_per_capita: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202403/t20240321_3595860.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2023,house_price,59322.25,SUSPICIOUS,LOW,source,Beijing 2023 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/1/2023/),https://fangjia.gotohui.com/years/1/2023/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2024,disposable_income,85415.0,SUSPICIOUS,MEDIUM,source,Beijing 2024 disposable_income: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2024,gdp_per_capita,228000.0,SUSPICIOUS,MEDIUM,source,Beijing 2024 gdp_per_capita: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2024,house_price,58729.083333333336,SUSPICIOUS,LOW,source,Beijing 2024 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/1/2024/),https://fangjia.gotohui.com/years/1/2024/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2024,population,21832000.0,SUSPICIOUS,MEDIUM,source,Beijing 2024 population: extraction_method=regex_or_ocr,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202503/t20250319_4038820.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Beijing,2025,house_price,57785.583333333336,SUSPICIOUS,LOW,source,Beijing 2025 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/1/2025/),https://fangjia.gotohui.com/years/1/2025/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2021,disposable_income,62145.0,SUSPICIOUS,MEDIUM,source,Changsha 2021 disposable_income: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/25200.html),https://tjgb.hongheiku.com/djs/25200.html,False,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2021,house_price,10170.833333333334,SUSPICIOUS,LOW,source,Changsha 2021 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/181/2021/),https://fangjia.gotohui.com/years/181/2021/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2021,innovation_index,98.5,SUSPICIOUS,MEDIUM,source,Changsha 2021 innovation_index: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/25200.html),https://tjgb.hongheiku.com/djs/25200.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2021,population,10239300.0,SUSPICIOUS,MEDIUM,source,Changsha 2021 population: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/25200.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/25200.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2022,house_price,10927.5,SUSPICIOUS,LOW,source,Changsha 2022 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/181/2022/),https://fangjia.gotohui.com/years/181/2022/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2022,population,10420600.0,SUSPICIOUS,MEDIUM,source,Changsha 2022 population: extraction_method=regex_or_ocr,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202304/t20230406_29306832.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2023,house_price,11475.833333333334,SUSPICIOUS,LOW,source,Changsha 2023 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/181/2023/),https://fangjia.gotohui.com/years/181/2023/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2023,population,10513100.0,SUSPICIOUS,MEDIUM,source,Changsha 2023 population: extraction_method=regex_or_ocr,http://tjj.hunan.gov.cn/hntj/tjfx/tjgb/szgb/zss_1/202405/t20240506_33292952.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2024,house_price,12299.166666666666,SUSPICIOUS,LOW,source,Changsha 2024 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/181/2024/),https://fangjia.gotohui.com/years/181/2024/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2024,innovation_index,120.6,SUSPICIOUS,MEDIUM,source,Changsha 2024 innovation_index: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/58642.html),https://tjgb.hongheiku.com/djs/58642.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2024,population,10616500.0,SUSPICIOUS,MEDIUM,source,Changsha 2024 population: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/58642.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/58642.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2025,house_price,11015.833333333334,SUSPICIOUS,LOW,source,Changsha 2025 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/181/2025/),https://fangjia.gotohui.com/years/181/2025/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Changsha,2025,innovation_index,132.0,SUSPICIOUS,MEDIUM,source,Changsha 2025 innovation_index: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/69005.html),https://tjgb.hongheiku.com/djs/69005.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2021,disposable_income,45755.0,SUSPICIOUS,MEDIUM,source,Chengdu 2021 disposable_income: third-party mirror/reprint (http://sc.people.com.cn/big5/n2/2022/0325/c379471-35191138.h),http://sc.people.com.cn/BIG5/n2/2022/0325/c379471-35191138.html,False,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2021,gdp_per_capita,94622.0,SUSPICIOUS,MEDIUM,source,Chengdu 2021 gdp_per_capita: third-party mirror/reprint (http://sc.people.com.cn/big5/n2/2022/0325/c379471-35191138.h),http://sc.people.com.cn/BIG5/n2/2022/0325/c379471-35191138.html,False,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2021,house_price,13937.416666666666,SUSPICIOUS,LOW,source,Chengdu 2021 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/300/2021/),https://fangjia.gotohui.com/years/300/2021/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2021,innovation_index,237.5,SUSPICIOUS,MEDIUM,source,Chengdu 2021 innovation_index: third-party mirror/reprint (http://sc.people.com.cn/big5/n2/2022/0325/c379471-35191138.h),http://sc.people.com.cn/BIG5/n2/2022/0325/c379471-35191138.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2021,population,21192000.0,SUSPICIOUS,MEDIUM,source,Chengdu 2021 population: third-party mirror/reprint (http://sc.people.com.cn/big5/n2/2022/0315/c379471-35173721.h),http://sc.people.com.cn/BIG5/n2/2022/0315/c379471-35173721.html,False,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2022,disposable_income,47948.0,SUSPICIOUS,MEDIUM,source,Chengdu 2022 disposable_income: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/35562.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/35562.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2022,gdp_per_capita,98149.0,SUSPICIOUS,MEDIUM,source,Chengdu 2022 gdp_per_capita: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/35562.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/35562.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2022,house_price,15227.333333333334,SUSPICIOUS,LOW,source,Chengdu 2022 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/300/2022/),https://fangjia.gotohui.com/years/300/2022/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2022,innovation_index,151.8,SUSPICIOUS,MEDIUM,source,Chengdu 2022 innovation_index: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/35562.html),https://tjgb.hongheiku.com/djs/35562.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2022,population,21268000.0,SUSPICIOUS,MEDIUM,source,Chengdu 2022 population: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/35562.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/35562.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2023,disposable_income,50888.0,SUSPICIOUS,MEDIUM,source,Chengdu 2023 disposable_income: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/46512.html),https://tjgb.hongheiku.com/djs/46512.html,False,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2023,gdp_per_capita,103465.0,SUSPICIOUS,MEDIUM,source,Chengdu 2023 gdp_per_capita: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/46512.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/46512.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2023,house_price,17746.916666666668,SUSPICIOUS,LOW,source,Chengdu 2023 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/300/2023/),https://fangjia.gotohui.com/years/300/2023/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2023,innovation_index,150.9,SUSPICIOUS,MEDIUM,source,Chengdu 2023 innovation_index: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/46512.html),https://tjgb.hongheiku.com/djs/46512.html,True,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2023,population,21268000.0,SUSPICIOUS,MEDIUM,source,Chengdu 2023 population: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/46512.html); extraction_method=regex_or_ocr,https://tjgb.hongheiku.com/djs/46512.html,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2024,gdp_per_capita,109669.0,SUSPICIOUS,MEDIUM,source,Chengdu 2024 gdp_per_capita: extraction_method=regex_or_ocr,https://www.tjnj.net/newsview.aspx?newsid=20250717155655,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2024,house_price,18580.666666666668,SUSPICIOUS,LOW,source,Chengdu 2024 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/300/2024/),https://fangjia.gotohui.com/years/300/2024/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2024,population,21474000.0,SUSPICIOUS,MEDIUM,source,Chengdu 2024 population: extraction_method=regex_or_ocr,https://www.tjnj.net/newsview.aspx?newsid=20250717155655,False,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2025,disposable_income,54363.0,SUSPICIOUS,MEDIUM,source,Chengdu 2025 disposable_income: third-party mirror/reprint (https://tjgb.hongheiku.com/djs/68696.html),https://tjgb.hongheiku.com/djs/68696.html,False,manual_web,verify_official: check if source_url is from statistics bureau / government official source
Chengdu,2025,house_price,18542.666666666668,SUSPICIOUS,LOW,source,Chengdu 2025 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/300/2025/),https://fangjia.gotohui.com/years/300/2025/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2021,disposable_income,33803.0,SUSPICIOUS,MEDIUM,source,Chongqing 2021 disposable_income: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202203/t20220318_10522726_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2021,gdp_per_capita,86879.0,SUSPICIOUS,MEDIUM,source,Chongqing 2021 gdp_per_capita: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202203/t20220318_10522726_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2021,house_price,11656.5,SUSPICIOUS,LOW,source,Chongqing 2021 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/6/2021/),https://fangjia.gotohui.com/years/6/2021/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2021,population,32124300.0,SUSPICIOUS,MEDIUM,source,Chongqing 2021 population: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202203/t20220318_10522726_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2022,disposable_income,35666.0,SUSPICIOUS,MEDIUM,source,Chongqing 2022 disposable_income: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202303/t20230317_11775723_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2022,gdp_per_capita,90663.0,SUSPICIOUS,MEDIUM,source,Chongqing 2022 gdp_per_capita: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202303/t20230317_11775723_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2022,house_price,12033.0,SUSPICIOUS,LOW,source,Chongqing 2022 house_price: third-party mirror/reprint (https://fangjia.gotohui.com/years/6/2022/),https://fangjia.gotohui.com/years/6/2022/,False,web_annual_mean,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2022,population,32133400.0,SUSPICIOUS,MEDIUM,source,Chongqing 2022 population: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202303/t20230317_11775723_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
Chongqing,2023,disposable_income,37595.0,SUSPICIOUS,MEDIUM,source,Chongqing 2023 disposable_income: extraction_method=regex_or_ocr,http://tjj.cq.gov.cn/zwgk_233/fdzdgknr/tjxx/sjzl_55471/tjgb_55472/202403/t20240326_13084652_wap.html,True,regex_or_ocr,verify_official: check if source_url is from statistics bureau / government official source
