city,year,job_posting_count,entry_salary,rent_monthly,source_name,source_url,notes
Beijing,2021,25917,85555,6500,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Beijing,2022,18660,99440,6500,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Beijing,2023,16809,96742,6500,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Beijing,2024,14200,89232,6500,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Beijing,2025,13744,87447,6500,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shanghai,2021,31028,85651,6200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shanghai,2022,22340,99551,6200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shanghai,2023,20124,99954,6200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shanghai,2024,17000,89964,6200,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,baseline from 51job graduate survey; entry_salary=monthly_median×12; job_posting_count from Zhaopin keyword search
Shanghai,2025,16454,88165,6200,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
Shenzhen,2021,15514,79561,5400,Zhaopin Q4 salary report + CIER index trend estimation,https://www.zhaopin.com/; http://ier.ruc.edu.cn/,year-specific estimate; entry_salary adjusted by Zhaopin Q4 YoY change rate; job_posting_count adjusted by CIER index trend; baseline_year=2024
