city,year,metric,data_tier,category,status,attempted_sources,explanation
Beijing,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Beijing,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Beijing,2023,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Beijing,2024,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Beijing,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shanghai,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shanghai,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shanghai,2023,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shanghai,2024,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shanghai,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shenzhen,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shenzhen,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shenzhen,2023,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shenzhen,2024,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Shenzhen,2025,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Guangzhou,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Guangzhou,2022,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
Nanjing,2021,tertiary_ratio,unknown,supplementary,not_found,communique/yearbook/nbs_api/external_csv/platform,Official source value not found in current source files
