city,year,metric,value,unit,source_type,source_name,source_url,source_file,extraction_method,is_official_source,notes
Beijing,2020,disposable_income,69434.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202103/t20210311_2304398.html,,regex_or_ocr,True,
Beijing,2020,gdp_total,36102.6,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202103/t20210311_2304398.html,,regex_or_ocr,True,
Beijing,2020,population,21893000.0,person,census,Beijing seventh census main data,https://tjj.beijing.gov.cn/tjsj_31433/sjjd_31444/202105/t20210519_2392526.html,,manual_web,True,Official seventh census release
Beijing,2020,tertiary_value,30278.6,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202103/t20210311_2304398.html,,regex_or_ocr,True,
Beijing,2021,disposable_income,75002.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,,regex_or_ocr,True,
Beijing,2021,entry_salary,89232.0,yuan/person/year,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
Beijing,2021,gdp_per_capita,184000.0,yuan/person,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,,regex_or_ocr,True,
Beijing,2021,gdp_total,40269.6,100 million yuan,communique,City statistical communique,https://tjj.beijing.gov.cn/tjsj_31433/tjgb_31445/ndgb_31446/202203/t20220301_2618672.html,,regex_or_ocr,True,
Beijing,2021,house_price,50580.666666666664,yuan/sqm,third_party_index,"China Index Academy 100-city new home price (gotohui annual mean, yuan/sqm)",https://fangjia.gotohui.com/years/1/2021/,/Users/zhanglelong/work/git/youth-economic-opportunity-index/data/raw/external/house_price_yuan_sqm.csv,web_annual_mean,False,third-party mirror; verify against official source
Beijing,2021,job_posting_count,14200.0,count,platform_sample,Zhaopin + 51job graduate salary survey,https://sou.zhaopin.com/,/Users/zhanglelong/work/git/youth-economic-opportunity-index-1/data/raw/external/youth_platform_indicators.csv,manual_csv,False,keyword=应届生; zhaopin positionCount=100; entry salary from 51job 2024 graduate survey (monthly median × 12); zhaopin positionCount hit cap=100; snapshot applied across panel years; snapshot_year=2024
